submission_id	party_id	age	age_band	sex	ethnicity	ai_catastrophe_0_10	humans_robots_pct	upsi_score
6a2ab47cdea19071c4783d85	Republican	63	50-64	Male	White	2	91	X2
6a2ab485672dfd0987250df9	Republican	55	50-64	Male	White	7	0	A7
6a2ab4869f1d92dfe543bb74	Independent	58	50-64	Female	White	7	84	V7
6a2ab487a9b990a7457d931e	Republican	58	50-64	Male	White	2	20	F2
6a2ab48bfd5c1a85231e97a8	Independent	33	18-34	Female	White	7	51	N7
6a2ab48c3838e7fb65228dd5	Republican	38	35-49	Female	White	6	70	S6
6a2ab492a03ca059d0d6eded	Democrat	58	50-64	Male	White	6	20	F6
6a2ab497200e2b8b01fe7ada	Democrat	21	18-34	Male	Asian	7	40	K7
6a2ab4a9cab5b270598bfd3a	Independent	33	18-34	Female	White	9	50	N9
6a2ab4aa7b4c8b86974c23fb	Republican	19	18-34	Male	White	1	5	B1
6a2ab4ab0a7230a8c8a44c4b	Democrat	70	65+	Male	White	8	36	J8
6a2ab4b5c26a1b3218a50d7d	Independent	31	18-34	Male	Asian	7	0	A7
6a2ab4d1255604b0274d0e4b	Democrat	19	18-34	Female	White	8	35	J8
6a2ab4d3c26d32da5091303d	Republican	51	50-64	Male	White	6	10	C6
6a2ab4dac5a62eaf3d7ef770	Independent	50	50-64	Female	White	3	26	G3
6a2ab4fd99d792f055c9fca7	Democrat	32	18-34	Female	White	7	65	Q7
6a2ab509a5628b5a37f75d20	Republican	52	50-64	Female	White	4	25	G4
6a2ab50f0798500768eaf1f9	Republican	60	50-64	Female	Mixed	0	0	A0
6a2ab5133ddd90b09e927a6a	Independent	36	35-49	Female	White	7	50	N7
6a2ab51d0d0e7ad4de7f0c0d	Independent	42	35-49	Female	White	8	60	P8
6a2ab5262c2afbae2be003c2	Independent	25	18-34	Female	Mixed	7	25	G7
6a2ab52ab13e2b7bf1278277	Republican	49	35-49	Male	White	1	15	D1
6a2ab52e3c7a75ca0166cf52	Independent	37	35-49	Female	White	7	50	N7
6a2ab536d2e2565eec1f516e	Independent	31	18-34	Male	White	8	65	Q8
6a2ab53a3c2748e8a2c14f36	Independent	48	35-49	Male	White	7	79	U7
6a2ab53cee476ac1bd0c8ee0	Republican	51	50-64	Female	White	9	38	J9
6a2ab54b0c08dfabe9861612	Republican	23	18-34	Male	Mixed	6	21	F6
6a2ab54ef19ee523247ec755	Independent	39	35-49	Male	White	7	60	P7
6a2ab567927dce86c9ad260c	Democrat	40	35-49	Female	Asian	8	30	H8
6a2ab56908b12fc4825fe996	Independent	25	18-34	Male	White	6	35	J6
6a2ab56e193daf8dd3d85c41	Republican	57	50-64	Female	White	2	60	P2
6a2ab573a5e3c4a345a3bf30	Democrat	62	50-64	Female	White	4	35	J4
6a2ab586a52bae39b319ff4d	Democrat	69	65+	Female	White	7	30	H7
6a2ab5926938db42ab60c5b7	Democrat	60	50-64	Male	White	1	4	B1
6a2ab593cc6308ff46b1429b	Independent	42	35-49	Female	White	7	45	L7
6a2ab598c880103db00b1ade	Independent	33	18-34	Female	White	2	20	F2
6a2ab59dd87e3668c6cd53c9	Democrat	64	50-64	Female	White	7	16	E7
6a2ab59f0a798f7598278288	Republican	39	35-49	Female	White	8	75	T8
6a2ab5a2a829acecbb0db072	Republican	32	18-34	Female	White	8	74	T8
6a2ab5a43f6419dc572ba214	Independent	28	18-34	Female	Asian	5	30	H5
6a2ab5b169839234b6718a4f	Democrat	56	50-64	Female	White	7	10	C7
6a2ab5b206ec9dc4223ad0cc	Republican	36	35-49	Male	Asian	2	15	D2
6a2ab5b207aad5a8ea018337	Independent	47	35-49	Male	Mixed	6	63	Q6
6a2ab5b23ca41e997636e0e3	Democrat	35	35-49	Female	Mixed	8	10	C8
6a2ab5b733403f7d36b18382	Democrat	36	35-49	Male	White	3	20	F3
6a2ab5ba59a06d8bca77dc02	Independent	23	18-34	Female	Mixed	6	62	Q6
6a2ab5c796bbfc971cb066e6	Independent	32	18-34	Female	Black	10	75	T10
6a2ab5cbda1ba0ad82c5722b	Independent	47	35-49	Female	White	6	72	S6
6a2ab5cea991e9debecb7d1a	Democrat	39	35-49	Male	Black	7	73	S7
6a2ab5de8d48f1e8833bf4e5	Republican	33	18-34	Female	Black	2	2	A2
6a2ab5e1e844423347018322	Democrat	63	50-64	Female	White	6	36	J6
6a2ab5f017d35a4dda4c34d8	Republican	67	65+	Female	White	9	82	V9
6a2ab5f920dafbe91b8f8f58	Democrat	45	35-49	Male	Asian	6	30	H6
6a2ab6130e04d1bae70d4e0a	Democrat	55	50-64	Female	Black	7	9	C7
6a2ab63513bcebac5778d4ce	Democrat	45	35-49	Female	Other	7	34	I7
6a2ab649ee40eea8795f2796	Independent	20	18-34	Male	White	3	25	G3
6a2ab650cf183e9ec15d0534	Independent	46	35-49	Male	Other	6	58	P6
6a2ab659e8ee68cabad7db98	Independent	32	18-34	Male	Black	9	86	W9
6a2ab65df4f2cc36eae448a8	Democrat	19	18-34	Male	Black	6	62	Q6
6a2ab66205f57782e5b7e271	Independent	40	35-49	Female	Black	2	74	T2
6a2ab66387bfd18e77451e17	Democrat	62	50-64	Male	Black	7	68	R7
6a2ab66d5a85ac941e93736e	Republican	61	50-64	Female	White	6	60	P6
6a2ab67f27799ac4482e3734	Republican	23	18-34	Female	White	8	90	X8
6a2ab685bc9d44afb4f781fe	Independent	71	65+	Male	White	8	95	Y8
6a2ab68b6149effd469b6c37	Democrat	51	50-64	Male	Mixed	7	70	S7
6a2ab6915a85ac941e937371	Independent	43	35-49	Male	Black	8	65	Q8
6a2ab6a100c27e0480b83653	Independent	38	35-49	Male	White	8	80	U8
6a2ab6ae7a5e4ae8d0b1024e	Democrat	31	18-34	Female	White	9	18	E9
6a2ab6aea188e789cd1e97c0	Republican	46	35-49	Male	White	7	60	P7
6a2ab6bb8cc8626ac4957468	Republican	22	18-34	Male	White	5	41	K5
6a2ab6c6ae95bb831d77d571	Republican	64	50-64	Male	White	7	70	S7
6a2ab6ca25d8fe46757694cd	Republican	62	50-64	Female	White	2	34	I2
6a2ab6cf8911e28442c0869c	Independent	20	18-34	Female	Asian	8	25	G8
6a2ab6e06e116e0c40c89d25	Democrat	35	35-49	Female	White	2	0	A2
6a2ab6e8797422e87e43bb74	Independent	20	18-34	Male	White	10	100	Z10
6a2ab6ff2522b4d3c23232db	Republican	56	50-64	Female	White	8	35	J8
6a2ab709c8332d6c5a451e49	Independent	57	50-64	Female	White	7	73	S7
6a2ab711f86af3ee6a36595f	Independent	71	65+	Male	White	4	70	S4
6a2ab716f86af3ee6a365961	Independent	63	50-64	Male	White	7	40	K7
6a2ab7189492e4a55def8f0f	Democrat	70	65+	Male	White	2	15	D2
6a2ab72a1808ba34935247a7	Republican	62	50-64	Female	White	2	4	B2
6a2ab73708c6ed622b7a9f19	Independent	56	50-64	Male	Mixed	3	15	D3
6a2ab73d255604b0274d0e63	Republican	59	50-64	Female	White	2	68	R2
6a2ab74b831f4d0dd33133f2	Independent	43	35-49	Female	Mixed	7	0	A7
6a2ab75d05dc892b48e10b83	Democrat	23	18-34	Female	Black	10	52	N10
6a2ab7686efa6fdcf51bf38f	Republican	22	18-34	Female	Black	8	78	U8
6a2ab77a4e829e7f2d8a18ee	Republican	29	18-34	Male	Black	5	30	H5
6a2ab7845218be7677248244	Democrat	60	50-64	Male	White	8	60	P8
6a2ab78983fd7383454f58d0	Independent	59	50-64	Female	Mixed	10	79	U10
6a2ab78bf35f2b3d96998081	Democrat	41	35-49	Male	Mixed	6	30	H6
6a2ab78d36f43198ed149ea6	Republican	69	65+	Female	White	2	14	D2
6a2ab795b8d65af43ad8c527	Independent	60	50-64	Female	White	6	40	K6
6a2ab7bb19daeecd57c6ae97	Democrat	45	35-49	Male	White	1	1	A1
6a2ab7c110064ea7c97d76f5	Independent	20	18-34	Male	Mixed	4	10	C4
6a2ab7c71eb9f07951dca9e4	Democrat	63	50-64	Female	White	10	7	B10
6a2ab7d2ffc76a42cfdf65f4	Independent	37	35-49	Female	Mixed	9	1	A9
6a2ab7d662e5659fc4221d1b	Independent	46	35-49	Female	Asian	5	10	C5
6a2ab7f5188f13de991a645e	Republican	61	50-64	Male	Black	7	62	Q7
6a2ab80e646e78ebe92bb0b6	Independent	36	35-49	Female	White	8	45	L8
6a2ab8265adfb913c277d723	Democrat	23	18-34	Female	White	3	30	H3
6a2ab838867888212da8e4b4	Independent	39	35-49	Male	Asian	1	12	D1
6a2ab856a1ceaeaa8365d923	Republican	30	18-34	Male	Asian	7	70	S7
6a2ab85a4f49a0dc576889f5	Democrat	47	35-49	Female	White	7	24	G7
6a2ab865390b8245f8c248a1	Democrat	19	18-34	Female	Asian	7	22	F7
6a2ab877192c444f5b048c4d	Democrat	39	35-49	Male	Other	3	70	S3
6a2ab89156c148b5f391304b	Democrat	36	35-49	Male	Asian	7	48	M7
6a2ab8baf299163528002fe7	Democrat	29	18-34	Female	Asian	7	72	S7
6a2ab8baffb1a060ac5da1f5	Republican	33	18-34	Male	White	1	16	E1
6a2ab8bbd323df82145490a6	Independent	65	65+	Female	White	3	17	E3
6a2ab8ee77068ffd13a12a23	Independent	28	18-34	Female	Mixed	7	81	V7
6a2ab8f53c0a91ee88b88e0e	Republican	30	18-34	Female	Mixed	5	94	Y5
6a2ab924dc0d55a00eb73cb4	Democrat	56	50-64	Female	Mixed	7	65	Q7
6a2ab9283948be6c46a3bf3c	Democrat	56	50-64	Male	White	7	18	E7
6a2ab933365106f6af0b36fc	Independent	61	50-64	Female	Black	0	0	A0
6a2ab947eafa2fb02078d4b7	Independent	39	35-49	Female	Other	2	27	H2
6a2ab94a32548ae52952cf74	Democrat	62	50-64	Female	Asian	6	64	Q6
6a2ab956ecbddc273d3b940a	Republican	37	35-49	Male	White	10	99	Z10
6a2ab96370fab2861c0f814f	Democrat	43	35-49	Female	Other	7	61	P7
6a2ab96cc78f755b0450baa3	Democrat	22	18-34	Male	White	6	15	D6
6a2ab96d956afbaeaf14cd06	Democrat	20	18-34	Female	Mixed	6	78	U6
6a2ab98d9c4962a1d9fe7aa6	Independent	25	18-34	Male	White	9	6	B9
6a2ab9add9665a12a81aa613	Democrat	50	50-64	Male	White	2	5	B2
6a2ab9b324b93c7efb84a947	Democrat	26	18-34	Female	Mixed	8	69	R8
6a2ab9be4ca236df6c77fb55	Independent	59	50-64	Male	White	7	34	I7
6a2ab9fb08c6ed622b7a9f48	Republican	66	65+	Female	White	7	80	U7
6a2ab9ffc0abcf5ff6c6ae8a	Independent	47	35-49	Female	Black	0	2	A0
6a2aba01874915eb28d1d567	Republican	83	65+	Male	Asian	3	30	H3
6a2aba1153c52445aa42569d	Democrat	32	18-34	Male	Other	3	20	F3
6a2aba30d1832ed0d7b3e3d5	Independent	39	35-49	Male	Mixed	6	50	N6
6a2aba75e2b908b7bfd877e7	Independent	31	18-34	Male	White	9	20	F9
6a2aba7c93522f197e69d513	Republican	46	35-49	Male	Mixed	8	24	G8
6a2aba8a546590dd25937378	Independent	20	18-34	Male	Asian	3	40	K3
6a2aba9dfecbf703678dcbc2	Democrat	65	65+	Male	White	7	17	E7
6a2abab1d93e3f8579a09f67	Democrat	22	18-34	Male	White	4	8	C4
6a2abace8faa8ca6cbf23717	Republican	39	35-49	Female	Black	8	19	E8
6a2abae081c67ba5a82d33f1	Democrat	65	65+	Male	White	10	45	L10
6a2abb12c4aec2256fdd2f70	Independent	36	35-49	Female	Asian	5	85	W5
6a2abb37a8f23ce21bde12bc	Republican	61	50-64	Female	White	7	35	J7
